Date,Service,Ligne,Nom_de_la_ligne,Taux_de_ponctualité,Nombre_de_voyageurs_à_l'heure_pour_un_voyageur_en_retard
7/1/2014,RER,C,RER C,83.60,5.20
7/1/2014,RER,D,RER D,83.60,6.50
7/1/2014,RER,E,RER E,83.60,12.30
7/1/2014,Transilien,H,Paris Nord Ouest,83.60,13.50
7/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,6.10
7/1/2014,Transilien,K,Paris Nord Crépy,83.60,7.10
7/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,5.90
7/1/2014,Transilien,N,Paris Montparnasse,83.60,16.20
7/1/2014,Transilien,P,Paris Est,83.60,7.40
7/1/2014,Transilien,R,Paris Sud Est,83.60,8.70
7/1/2014,Transilien,U,La Verrière - La Défense,83.60,13.90
8/1/2014,RER,A,RER A,83.60,4.30
8/1/2014,RER,B,RER B,83.60,9.80
8/1/2014,RER,C,RER C,83.60,15.40
8/1/2014,RER,D,RER D,83.60,11.50
8/1/2014,RER,E,RER E,83.60,24.00
8/1/2014,Transilien,H,Paris Nord Ouest,83.60,21.20
8/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,6.90
8/1/2014,Transilien,K,Paris Nord Crépy,83.60,10.50
8/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,11.50
8/1/2014,Transilien,N,Paris Montparnasse,83.60,15.70
8/1/2014,Transilien,P,Paris Est,83.60,12.50
8/1/2014,Transilien,R,Paris Sud Est,83.60,13.70
8/1/2014,Transilien,U,La Verrière - La Défense,83.60,20.70
9/1/2014,RER,A,RER A,83.60,2.40
9/1/2014,RER,B,RER B,83.60,6.90
9/1/2014,RER,C,RER C,83.60,13.10
9/1/2014,RER,D,RER D,83.60,6.70
9/1/2014,RER,E,RER E,83.60,24.00
9/1/2014,Transilien,H,Paris Nord Ouest,83.60,26.00
9/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,5.50
9/1/2014,Transilien,K,Paris Nord Crépy,83.60,11.70
9/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,6.00
9/1/2014,Transilien,N,Paris Montparnasse,83.60,10.90
9/1/2014,Transilien,P,Paris Est,83.60,14.40
9/1/2014,Transilien,R,Paris Sud Est,83.60,8.00
9/1/2014,Transilien,U,La Verrière - La Défense,83.60,23.40
10/1/2014,RER,A,RER A,83.60,2.20
10/1/2014,RER,B,RER B,83.60,5.90
10/1/2014,RER,C,RER C,83.60,5.30
10/1/2014,RER,D,RER D,83.60,4.40
10/1/2014,RER,E,RER E,83.60,15.70
10/1/2014,Transilien,H,Paris Nord Ouest,83.60,14.90
10/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,5.00
10/1/2014,Transilien,K,Paris Nord Crépy,83.60,6.40
10/1/2014,Transilien,L,Paris Saint-Lazare Sud,83.60,4.70
10/1/2014,Transilien,N,Paris Montparnasse,83.60,10.10
10/1/2014,Transilien,P,Paris Est,83.60,9.80
10/1/2014,Transilien,R,Paris Sud Est,83.60,3.50
10/1/2014,Transilien,U,La Verrière - La Défense,83.60,14.60
11/1/2014,RER,A,RER A,83.60,2.30
11/1/2014,RER,B,RER B,83.60,6.20
11/1/2014,RER,C,RER C,83.60,6.50
11/1/2014,RER,D,RER D,83.60,5.60
11/1/2014,RER,E,RER E,83.60,22.10
11/1/2014,Transilien,H,Paris Nord Ouest,83.60,18.00
11/1/2014,Transilien,J,Paris Saint-Lazare Nord,83.60,6.00
11/1/2014,Transilien,K,Paris Nord Crépy,83.60,5.50
